,Maximum,Minimum,Average
Thrust (gf),868.8280952593545,-7.286426814965662,355.80425694611506
Current (A),25.424111327017602,0.0,8.597963748637929
Motor Efficiency (%),750.8161704672225,0.0,62.16870044320146
Burst Current Cutoff (A),23.17750314630078,0.013954312522050226,6.466764462226533
Voltage (V),15.452635828997352,13.912182959975267,14.899700041022163
Electrical Power (W),358.8881294905268,0.17889112502932014,124.75223452029063
Torque (NÂ·m),0.049196528852060994,-0.0347584919544881,0.0005351785597100702
Motor Electrical Speed (RPM),30151.0,0.0,17860.67064580104
Mechanical Power (W),155.33452291139415,0.0,42.44174296302395
Propeller Mech. Efficiency (gf/W),93.61758932855463,0.0,11.447757424229753
Overall Efficiency (gf/W),4.76669942668682,0.0,3.175343250143139
AccX (g),0.15625,-0.25,-0.02015667038102184
AccY (g),0.19140625,-0.072265625,0.07283568304932471
AccZ (g),-0.671875,-1.125,-0.9817648214707783
